suburb,MODE,stop_count,School_Type,school_count,region,Housing_Type,timestamp,Latest_Median,Forecasted_Next_Quarter
Cranbourne,REGIONAL COACH,3.0,Secondary,1.0,South Eastern Melbourne,2 bedroom flat,2025-03-01,450.0,468.0
Cranbourne,REGIONAL COACH,3.0,Secondary,1.0,South Eastern Melbourne,2 bedroom house,2025-03-01,480.0,480.0
Cranbourne,REGIONAL COACH,3.0,Secondary,1.0,South Eastern Melbourne,3 bedroom flat,2025-03-01,530.0,540.0
Cranbourne,REGIONAL COACH,3.0,Secondary,1.0,South Eastern Melbourne,3 bedroom house,2025-03-01,545.0,548.0
Cranbourne,REGIONAL COACH,3.0,Secondary,1.0,South Eastern Melbourne,4 bedroom house,2025-03-01,600.0,630.0
Cranbourne,REGIONAL COACH,3.0,Secondary,1.0,South Eastern Melbourne,All properties,2025-03-01,580.0,540.0
Cranbourne East,METRO BUS,45.0,Pri/Sec,2.0,,,,,
Cranbourne East,METRO BUS,45.0,Primary,3.0,,,,,
Cranbourne East,METRO BUS,45.0,Secondary,1.0,,,,,
Cranbourne East,METRO BUS,45.0,Special,1.0,,,,,
Cranbourne North,METRO BUS,64.0,Primary,3.0,,,,,
Cranbourne North,METRO BUS,64.0,Secondary,2.0,,,,,
Cranbourne North,METRO TRAIN,3.0,Primary,3.0,,,,,
Cranbourne North,METRO TRAIN,3.0,Secondary,2.0,,,,,
Cranbourne South,METRO BUS,4.0,Primary,1.0,,,,,
Cranbourne West,METRO BUS,32.0,Primary,2.0,,,,,
Cranbourne West,METRO BUS,32.0,Secondary,2.0,,,,,
Creek Junction,,,,,,,,,
Creek View,REGIONAL COACH,1.0,,,,,,,
Creightons Creek,,,,,,,,,
Cremorne,METRO TRAIN,3.0,,,,,,,
Cremorne,METRO TRAM,7.0,,,,,,,
Cressy,,,,,,,,,
Creswick,REGIONAL BUS,18.0,Primary,3.0,,,,,
Creswick,REGIONAL COACH,5.0,Primary,3.0,,,,,
Creswick,REGIONAL TRAIN,2.0,Primary,3.0,,,,,
Creswick North,,,,,,,,,
Crib Point,METRO BUS,8.0,Primary,2.0,,,,,
Crib Point,METRO TRAIN,6.0,Primary,2.0,,,,,
Crookayan,,,,,,,,,
Crooked River,,,,,,,,,
Cross Roads,,,,,,,,,
Crossley,,,,,,,,,
Crossover,,,,,,,,,
Crowlands,REGIONAL BUS,2.0,,,,,,,
Croxton East,,,,,,,,,
Croydon,METRO BUS,102.0,Primary,5.0,,,,,
Croydon,METRO BUS,102.0,Secondary,2.0,,,,,
Croydon,METRO TRAIN,2.0,Primary,5.0,,,,,
Croydon,METRO TRAIN,2.0,Secondary,2.0,,,,,
Croydon,REGIONAL COACH,1.0,Primary,5.0,,,,,
Croydon,REGIONAL COACH,1.0,Secondary,2.0,,,,,
Croydon Hills,METRO BUS,13.0,Primary,2.0,,,,,
Croydon Hills,METRO BUS,13.0,Secondary,1.0,,,,,
Croydon North,METRO BUS,16.0,Primary,2.0,,,,,
Croydon North,REGIONAL COACH,1.0,Primary,2.0,,,,,
Croydon South,METRO BUS,9.0,Special,1.0,,,,,
Crymelon,,,,,,,,,
Cudgee,,,Primary,1.0,,,,,
Cudgewa,REGIONAL BUS,1.0,,,,,,,
Culgoa,REGIONAL COACH,1.0,,,,,,,
Culla,,,,,,,,,
Cullen,,,,,,,,,
Cullulleraine,,,,,,,,,
Cundare,,,,,,,,,
Cundare North,,,,,,,,,
Curdies River,,,,,,,,,
Curdievale,,,,,,,,,
Curlewis,REGIONAL BUS,12.0,,,,,,,
Curyo,,,,,,,,,
Dadswells Bridge,REGIONAL COACH,1.0,,,,,,,
Daisy Hill,REGIONAL BUS,1.0,,,,,,,
Dales Creek,,,,,,,,,
Dallas,METRO BUS,14.0,Pri/Sec,1.0,,,,,
Dallas,METRO BUS,14.0,Primary,2.0,,,,,
Dallas,METRO BUS,14.0,Special,1.0,,,,,
Dalmore,,,,,,,,,
Daltons Bridge,,,,,,,,,
Dalyenong,,,,,,,,,
Dalyston,REGIONAL BUS,1.0,Primary,1.0,,,,,
Dalyston,REGIONAL COACH,1.0,Primary,1.0,,,,,
Dandenong,METRO BUS,101.0,Primary,6.0,South Eastern Melbourne,1 bedroom flat,2025-03-01,360.0,364.0
Dandenong,METRO BUS,101.0,Primary,6.0,South Eastern Melbourne,2 bedroom flat,2025-03-01,440.0,468.0
Dandenong,METRO BUS,101.0,Primary,6.0,South Eastern Melbourne,2 bedroom house,2025-03-01,500.0,480.0
Dandenong,METRO BUS,101.0,Primary,6.0,South Eastern Melbourne,3 bedroom flat,2025-03-01,580.0,540.0
Dandenong,METRO BUS,101.0,Primary,6.0,South Eastern Melbourne,3 bedroom house,2025-03-01,550.0,548.0
Dandenong,METRO BUS,101.0,Primary,6.0,South Eastern Melbourne,4 bedroom house,2025-03-01,730.0,630.0
Dandenong,METRO BUS,101.0,Primary,6.0,South Eastern Melbourne,All properties,2025-03-01,530.0,540.0
Dandenong,METRO BUS,101.0,Secondary,2.0,South Eastern Melbourne,1 bedroom flat,2025-03-01,360.0,364.0
